Nombre,Teléfono,Dirección,Lat,Lng,Rating,Reseñas,Horarios
Vintage Shop,,"Via C. Benso di Cavour, 42, 14100 Asti AT, Italia",44.8983481,8.2046558,,,"giovedì: 10 to 12:30, 16:30 to 19:30 | venerdì: 10 to 12:30, 16:30 to 19:30 | sabato: 10 to 12:30, 16:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 10 to 12:30, 16:30 to 19:30 | mercoledì: 10 to 12:30, 16:30 to 19:30"
Centro Commerciale Nuovo Borgo,+39 0141 271900,"Corso Casale, 319, 14100 Asti AT, Italia",44.915273,8.2250931,4.2,7563,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Atipici shop,+39 0141 178 4386,"Piazza Vittorio Alfieri, 48, 14100 Asti AT, Italia",44.8995627,8.2064891,4.9,71,"giovedì: 10 to 13, 15 to 19:30 | venerdì: 10 to 13, 15 to 19:30 | sabato: 10 to 19:30 | domenica: 10 to 13, 15:30 to 19:30 | lunedì: 10 to 13, 15 to 19:30 | martedì: 10 to 13, 15 to 19:30 | mercoledì: 10 to 13, 15 to 19:30"
Mercatò,+39 0141 599044,"Via Bra, 2, 14100 Asti AT, Italia",44.8908175,8.2071502,4.2,2226,giovedì: 08 to 20:30 | venerdì: 08 to 20:30 | sabato: 08 to 20:30 | domenica: 08:30 to 20 | lunedì: 08 to 20:30 | martedì: 08 to 20:30 | mercoledì: 08 to 20:30
EhyShop,+39 388 974 0343,"Corso Vittorio Alfieri, 241, 14100 Asti AT, Italia",44.9004812,8.2052261,4.8,60,"giovedì: 10 to 13, 15:30 to 19:30 | venerdì: 10 to 13, 15:30 to 19:30 | sabato: 10 to 13, 15 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 15:30 to 19:30 | mercoledì: 10 to 13, 15:30 to 19:30"
Piazza Italia,+39 0141 178 5943,"Corso Casale, 319, 14100 Asti AT, Italia",44.9153438,8.2260543,3.8,289,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Action Asti C.so Alessandria,,"Corso Alessandria, 563, 14100 Asti AT, Italia",44.9068848,8.2328499,4.3,642,giovedì: 08:45 to 20:30 | venerdì: 08:45 to 20:30 | sabato: 08:45 to 20:30 | domenica: 09 to 20 | lunedì: 08:45 to 20:30 | martedì: 08:45 to 20:30 | mercoledì: 08:45 to 20:30
Unes,+39 0141 410728,"Corso XXV Aprile, Via Carlo Graziani, 26, 14100 Asti AT, Italia",44.9064457,8.1882748,4.1,701,"giovedì: 08 to 20 | venerdì: 08 to 20 | sabato: 08 to 20 | domenica: 09 to 13, 15 to 19:30 | lunedì: 08 to 20 | martedì: 08 to 20 | mercoledì: 08 to 20"
Buena Vita,+39 0141 231502,"Piazza Medici, 22, 14100 Asti AT, Italia",44.9008148,8.2049202,4.9,46,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Mercatò,+39 0141 273358,"Viale Pilone, 97, 14100 Asti AT, Italia",44.9038332,8.2230366,4.2,1105,giovedì: 08 to 20:30 | venerdì: 08 to 20:30 | sabato: 08 to 20:30 | domenica: 08:30 to 20 | lunedì: 08 to 20:30 | martedì: 08 to 20:30 | mercoledì: 08 to 20:30
Buffetti,+39 0141 324091,"Piazza S. Secondo, 17, 14100 Asti AT, Italia",44.8993064,8.2041512,4.5,123,"giovedì: 08:30 to 12:30, 15 to 19 | venerdì: 08:30 to 12:30, 15 to 19 | sabato: 08:30 to 12:30, 15 to 19 | domenica: Chiuso | lunedì: 08:30 to 12:30, 15 to 19 | martedì: 08:30 to 12:30, 15 to 19 | mercoledì: 08:30 to 12:30, 15 to 19"
Damico Shop Asti,,"Via C. Benso di Cavour, 68, 14100 Asti AT, Italia",44.8977736,8.2051178,4.9,27,"giovedì: 09:30 to 13:30, 15:30 to 19:30 | venerdì: 09:30 to 13:30, 15:30 to 19:30 | sabato: 09:30 to 13:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 13:30, 15:30 to 19:30 | mercoledì: 09:30 to 13:30, 15:30 to 19:30"
Anomalia Asti,+39 0141 352679,"Corso Vittorio Alfieri, 405, 14100 Asti AT, Italia",44.8987889,8.1954329,5,22,"giovedì: 09 to 13, 15 to 19 | venerdì: 09 to 13, 15 to 19 | sabato: 10 to 13 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 13, 15 to 19 | mercoledì: 09 to 13, 15 to 19"
Esselunga,+39 0141 411215,"Corso Ivrea, 14100 Asti AT, Italia",44.9064222,8.1840628,4.2,2375,giovedì: 07:30 to 21 | venerdì: 07:30 to 21 | sabato: 07:30 to 21 | domenica: 08 to 14 | lunedì: 07:30 to 21 | martedì: 07:30 to 21 | mercoledì: 07:30 to 21
